"";"row";"col";"a";"z";"dn";"rr";"is_outlier"
"14907";272;287;25,3461759419467;9,6;633,222222222222;1,2444502840402;FALSE
"5";30;286;3,06837128526482;81,6;2988;5,87221565860834;FALSE
"97";51;213;19,325840097316;79,5;1057,44444444444;2,07815991458336;TRUE
"2067";151;192;35,9703626780349;55,8;1954,77777777778;3,84165886069822;FALSE
"898";132;170;37,7570912670361;64,2;2044,66666666667;4,01831446339844;FALSE
"3307";174;194;40,0939330143522;49,8;1588,33333333333;3,12149794882516;TRUE
"966";134;142;43,5899271002339;69,3;2071,66666666667;4,07137665308465;FALSE
"7977";237;224;50,3051096062104;30;950,555555555556;1,86809478504367;TRUE
"6335";224;192;54,8135178592546;39,9;1131,77777777778;2,22424470841085;TRUE
"5391";216;176;55,8346788433781;45,3;1237,44444444444;2,43190784582482;TRUE
"15376";274;242;65,6298799461262;19,5;703,555555555556;1,38267401272899;TRUE
"8639";242;110;72,9289787086809;60;1190,66666666667;2,33997705628614;FALSE
"8932";244;81;75,5652369375911;68,4;1408,77777777778;2,76862346926577;FALSE
"6445";225;46;73,4764774325794;79,8;1111,77777777778;2,18493938271735;FALSE
"16895";280;170;81,0724704080719;39,9;855,666666666667;1,68161285092008;TRUE
"16335";278;137;82,1644748935115;49,8;955,777777777778;1,87835784230808;FALSE
"13586";267;104;80,325034638138;60;1158,88888888889;2,27752526101759;TRUE
"22470";301;246;90,5256346064576;16,5;613,777777777778;1,2062367729493;TRUE
"22454";301;135;90,1730985051202;49,8;875,333333333333;1,72026308785202;FALSE
"28360";331;104;98,8228340685561;60;896,333333333333;1,76153367983019;TRUE
"31789";358;76;104,366042847309;69,9;1066,66666666667;2,09628403698647;FALSE
"32764";376;60;107,428601990269;75,9;1290,55555555556;2,53628532183311;FALSE
"33719";413;99;119,175175847682;69,6;486,666666666667;0,956429591875076;TRUE
"33059";383;180;124,397386894524;44,1;589,333333333333;1,15819693043502;FALSE
"33918";430;136;128,211025425561;63;770,888888888889;1,51500194256376;FALSE
"33670";407;188;133,430645195251;46,8;564,333333333333;1,10906527331815;FALSE
"34630";480;235;159,95284725001;57,6;619;1,21649983021371;FALSE
"34898";565;224;163,868811501678;82,8;819,888888888889;1,61129999051283;TRUE
"34193";445;319;187,295756778609;43,8;471,333333333333;0,926295508843395;TRUE
"34848";520;311;182,73871267759;66,3;766,888888888889;1,50714087742506;FALSE
"31217";351;318;199,112973733673;16,2;434,888888888889;0,854672470913024;FALSE
"34877";545;373;196,516328751806;76,8;698,777777777778;1,37328440714666;FALSE
"33934";430;364;206,120906743966;43,5;331,333333333333;0,651158228988921;TRUE
"34450";467;385;206,908135576602;56,4;631,777777777778;1,24161156607344;TRUE
"34789";510;389;202,900866856337;68,4;807,111111111111;1,58618825465309;FALSE
"27855";328;320;215,340106921558;10,2;462,333333333333;0,908608112281322;FALSE
"33680";407;369;212,748819576601;38,1;375,888888888889;0,73872176011721;FALSE
"34433";466;479;227,164217607377;73,2;899,111111111111;1,76699275284318;FALSE
"29609";338;364;239,435974978975;22,2;439,666666666667;0,86406207649536;FALSE
"33963";431;524;239,719659717493;78;981,333333333333;1,92858131402755;FALSE
"24943";313;333;248,962488974578;10,5;478,111111111111;0,93961564699508;FALSE
"25178";314;375;259,728996279521;22,8;457,333333333333;0,898781780857948;TRUE
"27184";324;421;258,964645836965;36,9;470,666666666667;0,924985331320279;TRUE
"31163";350;458;252,552811576718;49,8;521,888888888889;1,02565063767973;FALSE
"31725";356;521;255,87208336308;68,4;675,111111111111;1,32677310507602;FALSE
"23286";304;433;268,486878443932;39,9;497,111111111111;0,976955706403902;FALSE
"23318";304;465;268,781124764869;49,5;560,444444444444;1,10142257109997;FALSE
"21141";295;347;276,745579647483;14,1;505,666666666667;0,993769651283897;FALSE
"20507";292;513;272,290610042639;64,2;717,555555555556;1,41018774071444;FALSE
"7767";235;484;289,643933538643;58,8;709,222222222222;1,39381052167548;FALSE
"6309";223;554;286,99943617655;79,8;1129,33333333333;2,21944072415942;TRUE
"14730";271;357;297,570137182332;19,2;549,555555555556;1,08002300488907;FALSE
"5768";219;517;290,628516442652;69,6;954,888888888889;1,87661093894393;FALSE
"10505";252;359;309,660763196262;23,1;599,666666666667;1,17850468204333;FALSE
"1550";143;521;305,537677791974;81,6;1353,77777777778;2,66053382360866;FALSE
"6527";225;366;319,056737861295;30,3;671,444444444444;1,31956712869888;FALSE
"964";133;463;315,868051449746;70,2;995,111111111111;1,95565831617196;FALSE
"9549";247;333;328,722297133134;18,9;649,666666666667;1,27676799627707;FALSE
"919";132;399;329,690736206121;58,8;894,222222222222;1,75738478434032;FALSE
"132";64;442;329,107551184082;83,1;745,222222222222;1,46456010792377;TRUE
"4898";209;338;337,714412353167;30;773,444444444444;1,52002428973571;FALSE
"3395";176;346;339,924570355436;39,9;906,777777777778;1,78205979435902;FALSE
"1817";147;360;338,812565776809;49,5;1039;2,04191166977713;FALSE
"594";106;345;347,11300099947;60;1194,11111111111;2,34674630682225;FALSE
"12324";261;302;357,82525588539;12;613,333333333333;1,20536332126722;FALSE
"564";102;301;359,855678442477;59,7;1233,88888888889;2,4249202323682;TRUE
